21:16:42.059 |I| Build                          | :21                            | Finish build part [1/1] for project 'JetBrains.Frontend.2019.4.csproj': Success
21:16:42.059 |I| Build                          | :21                            | Finish build project 'JetBrains.Frontend.2019.4.csproj': Success
21:16:42.067 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.TextMeshPro.Editor.Tests.csproj': Success
21:16:42.067 |I| Build                          | :21                            | Finish build project 'Unity.TextMeshPro.Editor.Tests.csproj': Success
21:16:42.073 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.AI.Navigation.Tests.csproj': Success
21:16:42.073 |I| Build                          | :21                            | Finish build project 'Unity.AI.Navigation.Tests.csproj': Success
21:16:42.079 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.Mathematics.Tests.csproj': Success
21:16:42.079 |I| Build                          | :21                            | Finish build project 'Unity.Mathematics.Tests.csproj': Success
21:16:42.089 |I| Build                          | :21                            | Finish build part [1/1] for project 'Assembly-CSharp-Editor-firstpass.csproj': Success
21:16:42.089 |I| Build                          | :21                            | Finish build project 'Assembly-CSharp-Editor-firstpass.csproj': Success
21:16:42.095 |I| Build                          | :21                            | Finish build part [1/1] for project 'Assembly-CSharp-Editor.csproj': Success
21:16:42.095 |I| Build                          | :21                            | Finish build project 'Assembly-CSharp-Editor.csproj': Success
21:16:42.132 |I| Build                          | :21                            | Finish build part [1/1] for project 'UnityEngine.UI.Player.csproj': Success
21:16:42.132 |I| Build                          | :21                            | Finish build project 'UnityEngine.UI.Player.csproj': Success
21:16:42.137 |I| BuildQueue                     | :21                            | Build layer: Unity.Timeline.Player.csproj, Unity.Mathematics.Player.csproj, Unity.TextMeshPro.Player.csproj, Unity.AI.Navigation.Player.csproj
21:16:42.137 |I| Build                          | :21                            | Start build 'Unity.Timeline.Player.csproj' with 1 target frameworks
21:16:42.138 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.139 |I| Build                          | :21                            | Start build 'Unity.Mathematics.Player.csproj' with 1 target frameworks
21:16:42.140 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.140 |I| Build                          | :21                            | Start build 'Unity.TextMeshPro.Player.csproj' with 1 target frameworks
21:16:42.143 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.143 |I| Build                          | :21                            | Start build 'Unity.AI.Navigation.Player.csproj' with 1 target frameworks
21:16:42.145 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.169 |I| Build                          | :21                            | Finish build part [1/1] for project 'UnityEngine.TestRunner.Player.csproj': Success
21:16:42.169 |I| Build                          | :21                            | Finish build project 'UnityEngine.TestRunner.Player.csproj': Success
21:16:42.220 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.AI.Navigation.Player.csproj': Success
21:16:42.221 |I| Build                          | :21                            | Finish build project 'Unity.AI.Navigation.Player.csproj': Success
21:16:42.257 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.TextMeshPro.Player.csproj': Success
21:16:42.257 |I| Build                          | :21                            | Finish build project 'Unity.TextMeshPro.Player.csproj': Success
21:16:42.294 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.Mathematics.Player.csproj': Success
21:16:42.294 |I| Build                          | :21                            | Finish build project 'Unity.Mathematics.Player.csproj': Success
21:16:42.300 |I| BuildQueue                     | :21                            | Build layer: Unity.Splines.Player.csproj
21:16:42.300 |I| Build                          | :21                            | Start build 'Unity.Splines.Player.csproj' with 1 target frameworks
21:16:42.300 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.327 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.Timeline.Player.csproj': Success
21:16:42.327 |I| Build                          | :21                            | Finish build project 'Unity.Timeline.Player.csproj': Success
21:16:42.367 |I| Build                          | :21                            | Finish build part [1/1] for project 'Unity.Splines.Player.csproj': Success
21:16:42.367 |I| Build                          | :21                            | Finish build project 'Unity.Splines.Player.csproj': Success
21:16:42.387 |I| BuildQueue                     | :21                            | Build layer: Assembly-CSharp.Player.csproj
21:16:42.387 |I| Build                          | :21                            | Start build 'Assembly-CSharp.Player.csproj' with 1 target frameworks
21:16:42.388 |I| Build                          | :21                            | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
21:16:42.428 |I| Build                          | :5                             | Finish build part [1/1] for project 'UnityEngine.UI.csproj': Success
21:16:42.429 |I| Build                          | :5                             | Finish build project 'UnityEngine.UI.csproj': Success
21:16:42.436 |I| BuildQueue                     | :5                             | Build layer: UnityEditor.UI.csproj
